fuel,km_drove,location,model,owner,price,url
Diesel,85616 ,Nashik,Hyundai Verna FLUIDIC 1.6 CRDI SX OPT AT 2012,First Owner,611000,https://droom.in/product/hyundai-verna-fluidic-16-crdi-sx-opt-at-2012-5af5296bc87383db37d9b1cf
Diesel,140000 ,Ahmedabad,BMW 5 Series 520d 2013,First Owner,2500000,https://droom.in/product/bmw-5-series-520d-2013-5f2e3fbbd880adca092623e0
Diesel,15000 ,Jalandhar,Mahindra Scorpio S11 2WD 2018,Second Owner,1450000,https://droom.in/product/mahindra-scorpio-s11-2wd-2018-5f2ea036d880add80c26243d
Diesel,100821 ,Bangalore,Toyota Innova 2.5 G 7 STR BS IV 2016,First Owner,1375000,https://droom.in/product/toyota-innova-25-g-7-str-bs-iv-2016-5d7ca0532d875d3d0a3eef4c
Diesel,53741 ,Bangalore,Hyundai Verna Fluidic 1.6 crdi S (O) 2013,First Owner,625000,https://droom.in/product/hyundai-verna-fluidic-16-crdi-s-o-2013-5f2e5fd9d880ad0e0826244b
Diesel,37000 ,Hyderabad,Toyota Innova Crysta 2.4 VX 8 STR 2017,First Owner,1950000,https://droom.in/product/toyota-innova-crysta-24-vx-8-str-2017-5f32195c69865d3009dcf541
Diesel,57000 ,Aurangabad,Mercedes-Benz C-Class C 220 CDI Style 2017,First Owner,2900000,https://droom.in/product/mercedes-benz-c-class-c-220-cdi-style-2017-5f1fd9131d81ad5408299802
Petrol,32000 ,Delhi,Mercedes-Benz C-Class C 200 Avantgarde 2017,Second Owner,3000000,https://droom.in/product/mercedes-benz-c-class-c-200-avantgarde-2017-5f2877f967865daf068b4568
Petrol,58970 ,Delhi,Mercedes-Benz C-Class C 43 AMG 2017,First Owner,6723233,https://droom.in/product/mercedes-benz-c-class-c-43-amg-2017-5c78fc2a27875dfd08dfda56
Diesel,99000 ,Aurangabad,Mercedes-Benz C-Class C 220d Prime 2018,First Owner,2710000,https://droom.in/product/mercedes-benz-c-class-c-220d-prime-2018-5f1fdd8b14f4ac1108299811
Petrol,45000 ,Mumbai,Jaguar XE Prestige 2017,First Owner,3000000,https://droom.in/product/jaguar-xe-prestige-2017-5f261d9d06724b1e1cc30a2f
Diesel,21500 ,Osmanabad,Audi A6 35 TDI 2015,First Owner,2500000,https://droom.in/product/audi-a6-35-tdi-2015-5f261f0006875df407ce856e
Diesel,48500 ,Osmanabad,Jaguar XF Prestige Diesel 2018,First Owner,4000000,https://droom.in/product/jaguar-xf-prestige-diesel-2018-5f261c79ea865dcd09fc434c
Diesel,14800 ,Osmanabad,Jaguar XF 2.2 Diesel Luxury 2014,First Owner,2600000,https://droom.in/product/jaguar-xf-22-diesel-luxury-2014-5f261761ea865dd309fc4348
Petrol,50200 ,Ludhiana,Tata Indica Xeta Glx 2008,First Owner,175000,https://droom.in/product/tata-indica-xeta-glx-2008-5c73a68df4f3ac2d08e69908
Diesel,45000 ,Osmanabad,Audi A6 35 TDI Matrix 2019,First Owner,4000000,https://droom.in/product/audi-a6-35-tdi-matrix-2019-5f261b1c21f0ceb807ce856d
Diesel,120000 ,Aurangabad,Mercedes-Benz S-Class S 350 CDI 2014,Third Owner,2900000,https://droom.in/product/mercedes-benz-s-class-s-350-cdi-2014-5f1fce4606724bdb253e8b9f
Diesel,32652 ,Ludhiana,Toyota Etios VX D 2015,First Owner,730000,https://droom.in/product/toyota-etios-vx-d-2015-5f2bba2bd9f4ac060a3437c9
Diesel,65000 ,Delhi,Maruti Suzuki Ritz VDI BS IV 2011,First Owner,295500,https://droom.in/product/maruti-suzuki-ritz-vdi-bs-iv-2011-5f2d15c254f4ace809929052
Petrol + Cng,59000 ,Delhi,Maruti Suzuki Wagon R LXi CNG 2012,First Owner,294400,https://droom.in/product/maruti-suzuki-wagon-r-lxi-cng-2012-5f2d177106724b137bcca14c
Petrol,58000 ,Delhi,Maruti Suzuki Wagon R LXi 2012,First Owner,269700,https://droom.in/product/maruti-suzuki-wagon-r-lxi-2012-5f2d1688878a5da20a81233b
Diesel,17535 ,Delhi,Maruti Suzuki Vitara Brezza VDi 2019,First Owner,796000,https://droom.in/product/maruti-suzuki-vitara-brezza-vdi-2019-5f2aa10a496e4bad068b45ce
Petrol,34692 ,Gurgaon,Hyundai Eon Magna 2012,First Owner,235000,https://droom.in/product/hyundai-eon-magna-2012-5f2cf8ff466e4bb007d754f1
Petrol,50000 ,Pune,Ford Fiesta STYLE PETROL AT 2013,First Owner,325000,https://droom.in/product/ford-fiesta-style-petrol-at-2013-5ee1c267a26d4b8b0e129c8a
Diesel,41000 ,Jaipur,BMW X1 sDrive20d 2017,First Owner,1900000,https://droom.in/product/bmw-x1-sdrive20d-2017-5f2fa90c856d4bd90aeb8026
Diesel,69000 ,Jaipur,Mercedes-Benz C-Class C 220 CDI Style 2016,First Owner,2500000,https://droom.in/product/mercedes-benz-c-class-c-220-cdi-style-2016-5f2f9859c6865df30774a267
